participant.code,participant.label,participant.label_num,participant.payoff,participant.dutch_payoff,participant.honolulu_payoff,participant.time_started_utc,participant.date_num,session.code,session.treatment_num,session.config.real_world_currency_per_point,session.config.skip_intro_dutch,session.config.discount_a,session.config.start_round_dutch,session.config.name,session.config.num_test_rounds,session.config.start_price,session.config.price_tick,session.config.start_round_honolulu,session.config.skip_intro_honolulu,session.config.num_formal_rounds,session.config.discount_b,session.config.participation_fee,subsession.is_dutch_first,subsession.round_number,group.id_in_subsession,player.id_in_group,subsession.price_start,player.item_value,player.is_dutch_winner,group.have_dutch_winner,group.dutch_time_elapsed,group.dutch_final_price,player.is_final_winner,player.payoff,group.auctioneer_utility,predict.player.bid,predict.player.is_dutch_winner,predict.player.payoff,predict.group.dutch_time_elapsed,predict.group.dutch_final_price,predict.group.auctioneer_utility,paydiff_norm,paydiff_pct,predict0.player.bid,predict0.player.is_dutch_winner,predict0.player.payoff,predict0.group.dutch_time_elapsed,predict0.group.dutch_final_price,predict0.group.auctioneer_utility
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,3,3,3,50,23,0,1,8.671601057,42,0,0,35.08006236,19.0764211,0,0.0,10.92889798,39.07110202,30.95802435,-0.2300703456666667,0.5916420956373154,18.400000000000002,0.0,-0.0,12.399999999999999,37.6,28.74144
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,4,2,2,50,8,0,1,19.80819654,31,0,0,19.33297224,6.591989584,0,0.0,23.42644025,26.57355975,14.74560547,-0.2300703456666667,0.5916420956373154,6.4,0.0,-0.0,24.4,25.6,13.73184
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,5,2,2,50,9,0,1,14.64650989,36,0,0,25.98178724,7.423038182,0,0.0,19.26080015,30.73919985,19.49002973,-0.2300703456666667,0.5916420956373154,7.2,0.0,-0.0,20.4,29.6,18.12704
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,6,2,5,50,1,0,1,11.76743841,39,0,0,30.28032814,0.807874617,0,0.0,30.09065932,19.90934068,8.526722113,-0.2300703456666667,0.5916420956373154,0.8,0.0,-0.0,30.799999999999997,19.200000000000003,7.964160000000002
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,7,2,3,50,44,1,1,8.855061769,42,1,2,34.93366071,36.57146671,1,5.533201463,13.42853329,36.57146671,27.24054471,-0.2300703456666667,0.5916420956373154,35.2,1.0,6.325439999999999,14.799999999999997,35.2,25.301760000000005
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,8,3,2,50,4,0,1,31.05243611,19,0,0,7.790070564,3.274559132,0,0.0,31.75646473,18.24353527,7.235881767,-0.2300703456666667,0.5916420956373154,3.2,0.0,-0.0,32.4,17.6,6.765440000000002
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,9,2,4,50,18,0,1,23.44423461,27,0,0,14.97310765,14.91242689,0,0.0,22.59333534,27.40666466,15.64171332,-0.2300703456666667,0.5916420956373154,14.4,0.0,-0.0,23.599999999999998,26.400000000000002,14.562240000000003
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,10,2,3,50,34,1,1,19.80782223,31,1,2,19.33319271,28.23978206,0,0.0,20.92708898,29.07291102,17.5130945,-0.2300703456666667,0.5916420956373154,27.200000000000003,0.0,0.0,22.0,28.0,16.296000000000003
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,11,2,5,50,39,0,1,13.85330153,37,0,0,27.26112902,32.40552507,0,0.0,16.76130024,33.23869976,22.65334706,-0.2300703456666667,0.5916420956373154,31.200000000000003,0.0,0.0,18.0,32.0,21.056
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,12,1,5,50,36,0,1,11.01274681,39,0,0,30.83955461,29.90605053,0,0.0,15.92811828,34.07188172,23.76056344,-0.2300703456666667,0.5916420956373154,28.8,0.0,0.0,17.199999999999996,32.800000000000004,22.080960000000005
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,13,3,1,50,40,1,1,12.41365981,38,1,2,29.03733762,33.23869976,1,4.608064759,16.76130024,33.23869976,22.65334706,-0.2300703456666667,0.5916420956373154,32.0,1.0,5.264,18.0,32.0,21.056
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,14,1,2,50,18,0,1,12.0343864,38,0,0,29.31117302,14.91242689,0,0.0,9.262450849,40.73754915,33.56828776,-0.2300703456666667,0.5916420956373154,14.4,0.0,-0.0,10.799999999999997,39.2,31.156160000000003
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,15,2,5,50,8,0,1,15.64728308,35,0,0,24.59455675,6.591989584,0,0.0,14.26173436,35.73826564,26.05416227,-0.2300703456666667,0.5916420956373154,6.4,0.0,-0.0,15.600000000000001,34.4,24.20384
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,16,1,5,50,9,0,1,9.330028772,41,0,0,33.73190759,7.423038182,0,0.0,11.76211472,38.23788528,29.6924758,-0.2300703456666667,0.5916420956373154,7.2,0.0,-0.0,13.199999999999996,36.800000000000004,27.570560000000008
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,17,3,4,50,44,0,1,8.218521595,42,0,0,35.44161977,36.57146671,0,0.0,9.262450849,40.73754915,33.56828776,-0.2300703456666667,0.5916420956373154,35.2,0.0,0.0,10.799999999999997,39.2,31.156160000000003
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,18,1,5,50,4,0,1,13.77705884,37,0,0,27.31472764,3.274559132,0,0.0,10.92889798,39.07110202,30.95802435,-0.2300703456666667,0.5916420956373154,3.2,0.0,-0.0,12.399999999999999,37.6,28.74144
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,19,3,5,50,24,0,1,5.589924097,45,0,0,40.2206149,19.90934068,0,0.0,10.92889798,39.07110202,30.95802435,-0.2300703456666667,0.5916420956373154,19.200000000000003,0.0,-0.0,12.399999999999999,37.6,28.74144
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,20,3,1,50,18,0,1,22.38588476,28,0,0,16.09070931,14.91242689,0,0.0,17.59447493,32.40552507,21.5725193,-0.2300703456666667,0.5916420956373154,14.4,0.0,-0.0,18.799999999999997,31.200000000000003,20.055360000000004
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,3,3,5,50,3,0,1,8.671601057,42,0,0,35.08006236,2.448609551,0,0.0,10.92889798,39.07110202,30.95802435,-1.6666667222222222,-30000000.0,2.4000000000000004,0.0,-0.0,12.399999999999999,37.6,28.74144
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,4,2,5,50,29,0,1,19.80819654,31,0,0,19.33297224,24.07433212,0,0.0,23.42644025,26.57355975,14.74560547,-1.6666667222222222,-30000000.0,23.200000000000003,0.0,0.0,24.4,25.6,13.73184
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,5,2,3,50,10,0,1,14.64650989,36,0,0,25.98178724,8.254446859,0,0.0,19.26080015,30.73919985,19.49002973,-1.6666667222222222,-30000000.0,8.0,0.0,-0.0,20.4,29.6,18.12704
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,6,2,4,50,14,1,1,11.76743841,39,1,-30,30.28032814,11.58239179,0,0.0,30.09065932,19.90934068,8.526722113,-1.6666667222222222,-30000000.0,11.200000000000001,0.0,-0.0,30.799999999999997,19.200000000000003,7.964160000000002
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,7,2,2,50,13,0,1,8.855061769,42,0,0,34.93366071,10.7501472,0,0.0,13.42853329,36.57146671,27.24054471,-1.6666667222222222,-30000000.0,10.4,0.0,-0.0,14.799999999999997,35.2,25.301760000000005
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,8,3,4,50,2,0,1,31.05243611,19,0,0,7.790070564,1.625656568,0,0.0,31.75646473,18.24353527,7.235881767,-1.6666667222222222,-30000000.0,1.6,0.0,-0.0,32.4,17.6,6.765440000000002
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,9,1,2,50,10,0,1,12.84016275,38,0,0,28.72940249,8.254446859,0,0.0,15.0949295,34.9050705,24.89416851,-1.6666667222222222,-30000000.0,8.0,0.0,-0.0,16.4,33.6,23.13024
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,10,2,1,50,33,0,1,19.80782223,31,0,0,19.33319271,27.40666466,0,0.0,20.92708898,29.07291102,17.5130945,-1.6666667222222222,-30000000.0,26.400000000000002,0.0,0.0,22.0,28.0,16.296000000000003
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,11,3,3,50,2,0,1,26.64489913,24,0,0,11.849926,1.625656568,0,0.0,25.92566788,24.07433212,12.21561248,-1.6666667222222222,-30000000.0,1.6,0.0,-0.0,26.799999999999997,23.200000000000003,11.386560000000001
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,12,3,1,50,25,0,1,7.774483204,43,0,0,36.64824722,20.74229028,0,0.0,9.262450849,40.73754915,33.56828776,-1.6666667222222222,-30000000.0,20.0,0.0,-0.0,10.799999999999997,39.2,31.156160000000003
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,13,3,2,50,18,0,1,12.41365981,38,0,0,29.03733762,14.91242689,0,0.0,16.76130024,33.23869976,22.65334706,-1.6666667222222222,-30000000.0,14.4,0.0,-0.0,18.0,32.0,21.056
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,14,1,5,50,13,0,1,12.0343864,38,0,0,29.31117302,10.7501472,0,0.0,9.262450849,40.73754915,33.56828776,-1.6666667222222222,-30000000.0,10.4,0.0,-0.0,10.799999999999997,39.2,31.156160000000003
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,15,2,4,50,20,0,1,15.64728308,35,0,0,24.59455675,16.57788247,0,0.0,14.26173436,35.73826564,26.05416227,-1.6666667222222222,-30000000.0,16.0,0.0,-0.0,15.600000000000001,34.4,24.20384
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,16,2,3,50,14,0,1,33.56676817,17,0,0,6.157933881,11.58239179,0,0.0,34.2548734,15.7451266,5.49752755,-1.6666667222222222,-30000000.0,11.200000000000001,0.0,-0.0,34.8,15.200000000000001,5.149760000000002
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,17,1,2,50,30,0,1,8.581082582,42,0,0,35.1522961,24.90739214,0,0.0,11.76211472,38.23788528,29.6924758,-1.6666667222222222,-30000000.0,24.0,0.0,-0.0,13.199999999999996,36.800000000000004,27.570560000000008
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,18,1,2,50,0,0,1,13.77705884,37,0,0,27.31472764,-4.00026e-15,0,0.0,10.92889798,39.07110202,30.95802435,-1.6666667222222222,-30000000.0,0.0,0.0,-0.0,12.399999999999999,37.6,28.74144
4uwxoyym,p08,8,-29,-30,1,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,19,2,3,50,16,0,1,13.93884134,37,0,0,27.20099454,13.24723213,0,0.0,9.262450849,40.73754915,33.56828776,-1.6666667222222222,-30000000.0,12.8,0.0,-0.0,10.799999999999997,39.2,31.156160000000003
